city,state,pop
York,NY,"8,363,710"
Angeles,CA,"3,833,995"
Chicago,IL,"2,853,114"
Houston,TX,"2,242,193"
Phoenix,AZ,"1,567,924"
Philadelphia,PA,"1,447,395"
Antonio,TX,"1,351,305"
Dallas,TX,"1,279,910"
Diego,CA,"1,279,329"
Jose,CA,"948,279"
Detroit,MI,"912,062"
Francisco,CA,"808,976"
Jacksonville,FL,"807,815"
Indianapolis,IN,"798,382"
Austin,TX,"757,688"
Columbus,OH,"754,885"
Worth,TX,"703,073"
Charlotte,NC,"687,456"
Memphis,TN,"669,651"
Baltimore,MD,"636,919"
Paso,TX,"613,190"
Boston,MA,"609,023"
Milwaukee,WI,"604,477"
Denver,CO,"598,707"
Seattle,WA,"598,541"
Nashville,TN,"596,462"
Vegas,NV,"558,383"
Louisville,KY,"557,224"
Tucson,AZ,"541,811"
Atlanta,GA,"537,958"
Albuquerque,NM,"521,999"
Fresno,CA,"476,050"
Sacramento ,CA,"463,794"
Omaha,NE,"438,646"
Cleveland,OH,"433,748"
Miami,FL,"413,201"
Oakland,CA,"404,155"
Raleigh,NC,"392,552"
Tulsa,OK,"385,635"
Minneapolis,MN,"382,605"
Honolulu,HI,"374,676"
Arlington,TX,"374,417"
Wichita,KS,"366,046"
St. Louis,MO,"354,361"
Tampa,FL,"340,882"
Santa,CA,"339,130"
Anaheim,CA,"335,288"
Cincinnati,OH,"333,336"
Bakersfield,CA,"321,078"
Aurora,CO,"319,057"
Orleans,LA,"311,853"
Pittsburgh,PA,"310,037"
Riverside,CA,"295,357"
Toledo,OH,"293,201"
Stockton,CA,"287,037"
Christi,TX,"286,462"
Lexington,KY,"282,114"
St. Paul,MN,"279,590"
Anchorage,AK,"279,243"
Newark,NJ,"278,980"
Buffalo,NY,"270,919"
Plano,TX,"267,480"
Henderson,NV,"252,064"
Lincoln,NE,"251,624"
Fort Wayne,IN,"251,591"
Glendale,AZ,"251,522"
Greensboro,NC,"250,642"
Chandler,AZ,"247,140"
St. Petersburg ,FL,"245,314"
Jersey City,NJ,"241,114"
Scottsdale,AZ,"235,371"
Norfolk,VA,"234,220"
Madison,WI,"231,916"
Orlando,FL,"230,519"
Birmingham,AL,"228,798"
Baton,LA,"223,689"
Durham,NC,"223,284"
Laredo,TX,"221,659"
Lubbock,TX,"220,483"
Chesapeake,VA,"220,111"
Chula,CA,"219,318"
Garland,TX,"218,577"
Winston-Salem ,NC,"217,600"
Reno,NV,"217,016"
Gilbert,AZ,"216,449"
Hialeah,FL,"210,542"
Arlington,VA,"209,969"
Akron,OH,"207,510"
Irvine,CA,"207,500"
Rochester,NY,"206,886"
Boise,ID,"205,314"
Modesto,CA,"202,967"
Fremont,CA,"202,867"
Montgomery,AL,"202,696"
Spokane,WA,"202,319"
Richmond,VA,"202,002"
Yonkers,NY,"201,588"
Irving,TX,"201,358"
